medicine_id,medicine_name,category,manufacturer,form,dosage_mg,price,expiry_date,stock_quantity,status
M001,Azithromycin,Diabetes,Wellness Ltd,Tablet,500,,2024-02-06,,Inactive
M002,Vitamin D,Pain Relief,Wellness Ltd,Injection,250,,2024-07-06,472,Active
M003,Paracetamol,Antibiotic,HealthCorp,Injection,500,-50,2024-04-12,-10,active
M004,Azithromycin,Supplement,XYZ Labs,Tablet,850,370.52,2024-09-05,54,Inactive
M005,Vitamin D,Pain Relief,XYZ Labs,Tablet,500,352.03,2023-08-18,-10,Active
M006,Vitamin C,Allergy,Wellness Ltd,Capsule,,314.54,2024-09-16,-10,active
M007,Ibuprofen,Supplement,Wellness Ltd,Tablet,,,2025-01-16,-10,Active
M008,Ibuprofen,Antibiotic,ABC Pharma,Tablet,,86.16,2024-01-12,,active
M009,Vitamin C,Antibiotic,ABC Pharma,Capsule,,142.44,2024-10-21,337,Inactive
M010,Vitamin C,Diabetes,XYZ Labs,Syrup,500,,2024-06-18,382,
M011,Vitamin C,Diabetes,Wellness Ltd,Capsule,650,-50,2025-03-29,,active
M012,Ibuprofen,Supplement,Wellness Ltd,Injection,500,210.03,2023-12-28,-10,active
M013,Paracetamol,Pain Relief,ABC Pharma,Injection,650,,2024-09-24,95,
M014,Insulin,Allergy,Wellness Ltd,Injection,850,-50,2024-05-25,180,active
M015,Metformin,Supplement,MedLife,Injection,500,,2025-02-05,182,
M016,Azithromycin,Pain Relief,ABC Pharma,Syrup,,382.03,2024-09-26,,Active
M017,Insulin,Antibiotic,MedLife,Tablet,,-50,2024-02-24,294,
M018,Vitamin D,Antibiotic,ABC Pharma,Tablet,650,-50,2024-04-19,-10,
M019,Azithromycin,Pain Relief,ABC Pharma,Injection,250,-50,2024-10-24,-10,
M020,Ibuprofen,Supplement,XYZ Labs,Injection,250,,2023-08-31,-10,Active
M021,Ibuprofen,Pain Relief,MedLife,Capsule,250,-50,2025-03-23,-10,Active
M022,Vitamin C,Allergy,MedLife,Syrup,250,321.8,2024-06-24,-10,active
M023,Vitamin D,Antibiotic,ABC Pharma,Injection,500,,2023-10-05,-10,Active
M024,Aspirin,Allergy,ABC Pharma,Tablet,850,33.25,2024-09-25,-10,
M025,Insulin,Supplement,MedLife,Capsule,650,,2024-11-09,324,Active
M026,Paracetamol,Allergy,MedLife,Capsule,850,-50,2024-08-22,,active
M027,Vitamin D,Allergy,HealthCorp,Capsule,250,-50,2025-05-02,-10,
M028,Amoxicillin,Antibiotic,MedLife,Syrup,650,,2024-12-13,200,active
M029,Ibuprofen,Supplement,Wellness Ltd,Injection,,161.48,2025-01-24,-10,active
M030,Vitamin D,Diabetes,XYZ Labs,Capsule,850,-50,2024-06-05,494,active
M031,Insulin,Antibiotic,ABC Pharma,Injection,250,,2023-12-26,-10,Inactive
M032,Metformin,Allergy,ABC Pharma,Injection,650,-50,2024-12-23,-10,Active
M033,Metformin,Allergy,ABC Pharma,Injection,850,245.57,2023-12-19,288,active
M034,Paracetamol,Diabetes,ABC Pharma,Tablet,850,,2024-03-05,-10,
M035,Vitamin C,Supplement,HealthCorp,Syrup,,-50,2023-06-16,483,Active
M036,Vitamin D,Diabetes,XYZ Labs,Tablet,850,,2023-12-06,,Inactive
M037,Aspirin,Pain Relief,HealthCorp,Tablet,850,,2024-07-31,,
M038,Insulin,Supplement,MedLife,Syrup,650,481.79,2023-08-05,,Inactive
M039,Ibuprofen,Pain Relief,HealthCorp,Injection,650,269.26,2024-11-25,147,Inactive
M040,Metformin,Diabetes,HealthCorp,Tablet,250,,2024-03-09,314,Inactive
M041,Vitamin C,Supplement,XYZ Labs,Tablet,,363.33,2024-12-27,113,active
M042,Metformin,Allergy,MedLife,Injection,850,-50,2024-08-17,,
M043,Vitamin D,Supplement,MedLife,Tablet,650,-50,2023-10-02,-10,Inactive
M044,Cetirizine,Pain Relief,MedLife,Tablet,500,,2025-05-15,25,Active
M045,Paracetamol,Pain Relief,HealthCorp,Syrup,500,182.98,2023-08-21,102,Active
M046,Vitamin C,Antibiotic,ABC Pharma,Injection,850,,2023-09-17,29,active
M047,Vitamin C,Allergy,HealthCorp,Injection,500,-50,2023-07-24,,Inactive
M048,Insulin,Pain Relief,Wellness Ltd,Injection,250,,2023-11-09,407,
M049,Metformin,Supplement,MedLife,Capsule,250,-50,2024-08-03,329,Inactive
M050,Vitamin C,Allergy,HealthCorp,Capsule,500,,2023-10-06,-10,Inactive
M051,Aspirin,Diabetes,XYZ Labs,Capsule,650,,2024-11-08,,Inactive
M052,Vitamin C,Supplement,MedLife,Tablet,650,,2024-08-24,118,Active
M053,Azithromycin,Antibiotic,XYZ Labs,Injection,650,200.73,2024-07-27,160,
M054,Azithromycin,Antibiotic,ABC Pharma,Capsule,850,119.43,2024-05-14,-10,
M055,Cetirizine,Pain Relief,HealthCorp,Capsule,,,2024-05-29,,
M056,Amoxicillin,Allergy,Wellness Ltd,Tablet,850,-50,2024-08-17,,active
M057,Cetirizine,Diabetes,XYZ Labs,Syrup,650,-50,2024-12-06,-10,
M058,Cetirizine,Antibiotic,HealthCorp,Syrup,650,,2024-11-05,463,active
M059,Vitamin C,Supplement,HealthCorp,Tablet,250,,2023-07-21,,active
M060,Cetirizine,Pain Relief,XYZ Labs,Injection,850,-50,2023-10-14,,active
M061,Aspirin,Supplement,MedLife,Injection,500,,2023-06-15,130,
M062,Paracetamol,Supplement,HealthCorp,Capsule,250,,2024-11-14,,
M063,Aspirin,Pain Relief,MedLife,Injection,500,,2024-09-28,178,Active
M064,Azithromycin,Antibiotic,XYZ Labs,Tablet,250,-50,2023-12-07,-10,Active
M065,Cetirizine,Allergy,Wellness Ltd,Capsule,500,271.16,2025-03-19,,
M066,Aspirin,Pain Relief,Wellness Ltd,Capsule,850,,2024-07-27,,
M067,Ibuprofen,Allergy,MedLife,Capsule,850,,2023-10-26,164,active
M068,Cetirizine,Supplement,ABC Pharma,Syrup,650,112.44,2024-01-26,,active
M069,Ibuprofen,Antibiotic,ABC Pharma,Syrup,850,-50,2025-02-15,,Active
M070,Vitamin C,Supplement,Wellness Ltd,Tablet,250,-50,2025-02-02,,active
M071,Metformin,Pain Relief,XYZ Labs,Capsule,500,,2024-05-06,138,
M072,Ibuprofen,Supplement,HealthCorp,Tablet,500,73.78,2023-10-08,-10,active
M073,Insulin,Allergy,ABC Pharma,Tablet,500,,2024-11-06,,active
M074,Cetirizine,Allergy,Wellness Ltd,Injection,250,,2024-04-22,,active
M075,Aspirin,Supplement,Wellness Ltd,Injection,250,,2023-08-31,,active
M076,Aspirin,Pain Relief,HealthCorp,Syrup,650,,2024-03-16,-10,Active
M077,Amoxicillin,Pain Relief,ABC Pharma,Capsule,500,-50,2023-08-14,,Active
M078,Cetirizine,Allergy,MedLife,Tablet,,,2024-03-26,-10,Inactive
M079,Azithromycin,Allergy,MedLife,Syrup,,,2025-03-09,500,
M080,Aspirin,Antibiotic,ABC Pharma,Tablet,500,,2023-12-05,-10,active
